CD_GEOCMU,Nome Município,Estado,Agrupamento,Conjunto,Condição
3500105,ADAMANTINA,São Paulo,Adamantina,Sem conjunto,Meta
3500204,ADOLFO,São Paulo,José Bonifácio,Sem conjunto,Meta
3500303,AGUAÍ,São Paulo,Aguaí ,Sem conjunto,Meta
3500402,ÁGUAS DA PRATA,São Paulo,Aguaí ,Sem conjunto,Meta
3500501,ÁGUAS DE LINDÓIA,São Paulo,Amparo,SP07,1º Marco
3500550,ÁGUAS DE SANTA BÁRBARA,São Paulo,Avaré,Sem conjunto,Meta
3500600,ÁGUAS DE SÃO PEDRO,São Paulo,Piracicaba,SP08,1º Marco
3500709,AGUDOS,São Paulo,Fênix Dourada,SP01,2º Marco
3500758,ALAMBARI,São Paulo,Tatuí ,Sem conjunto,Meta
3500808,ALFREDO MARCONDES,São Paulo,Presidente Prudente,SP01,1º Marco
3500907,ALTAIR,São Paulo,Centelha da Fé,SP02,2º Marco
3501004,ALTINÓPOLIS,São Paulo,Cajuru,Sem conjunto,Meta
3501103,ALTO ALEGRE,São Paulo,Penápolis,Sem conjunto,Meta
3501152,ALUMÍNIO,São Paulo,Sorocaba,SP05,1º Marco
3501202,ÁLVARES FLORENCE,São Paulo,Votuporanga,Sem conjunto,Meta
3501301,ÁLVARES MACHADO,São Paulo,Presidente Prudente,SP01,1º Marco
3501400,ÁLVARO DE CARVALHO,São Paulo,Pompéia,Sem conjunto,Meta
3501509,ALVINLÂNDIA,São Paulo,Pompéia,Sem conjunto,Meta
3501608,AMERICANA,São Paulo,Irrestritos como o Vento,SP08,2º Marco
3501707,AMÉRICO BRASILIENSE,São Paulo,Araraquara,Sem conjunto,Meta
3501806,AMÉRICO DE CAMPOS,São Paulo,Votuporanga,Sem conjunto,Meta
3501905,AMPARO,São Paulo,Amparo,SP07,1º Marco
3502002,ANALÂNDIA,São Paulo,Pirassununga,Sem conjunto,Meta
3502101,ANDRADINA,São Paulo,Andradina,SP02,1º Marco
3502200,ANGATUBA,São Paulo,Tatuí ,Sem conjunto,Meta
3502309,ANHEMBI,São Paulo,Botucatu,Sem conjunto,Meta
3502408,ANHUMAS,São Paulo,Presidente Prudente,SP01,1º Marco
3502507,APARECIDA,São Paulo,Guaratinguetá,SP04,1º Marco
3502606,APARECIDA D'OESTE,São Paulo,Jales,Sem conjunto,Meta
3502705,APIAÍ,São Paulo,Ribeira,Sem conjunto,Meta
